,keltner,engulf
408,Signal.BUY,Signal.WAIT
409,Signal.BUY,Signal.WAIT
410,Signal.BUY,Signal.WAIT
411,Signal.BUY,Signal.SELL
412,Signal.BUY,Signal.WAIT
413,Signal.BUY,Signal.WAIT
414,Signal.BUY,Signal.SELL
415,Signal.BUY,Signal.WAIT
416,Signal.BUY,Signal.WAIT
417,Signal.BUY,Signal.WAIT
418,Signal.BUY,Signal.WAIT
419,Signal.BUY,Signal.BUY
420,Signal.WAIT,Signal.WAIT
421,Signal.WAIT,Signal.WAIT
422,Signal.BUY,Signal.BUY
423,Signal.BUY,Signal.WAIT
424,Signal.BUY,Signal.WAIT
425,Signal.WAIT,Signal.BUY
426,Signal.SELL,Signal.WAIT
427,Signal.SELL,Signal.WAIT
428,Signal.SELL,Signal.WAIT
429,Signal.SELL,Signal.WAIT
430,Signal.SELL,Signal.SELL
431,Signal.SELL,Signal.WAIT
432,Signal.SELL,Signal.WAIT
433,Signal.SELL,Signal.BUY
434,Signal.SELL,Signal.WAIT
435,Signal.SELL,Signal.WAIT
436,Signal.SELL,Signal.WAIT
437,Signal.WAIT,Signal.WAIT
438,Signal.WAIT,Signal.WAIT
439,Signal.SELL,Signal.BUY
440,Signal.SELL,Signal.WAIT
441,Signal.SELL,Signal.WAIT
442,Signal.SELL,Signal.BUY
443,Signal.SELL,Signal.WAIT
444,Signal.SELL,Signal.BUY
445,Signal.SELL,Signal.WAIT
446,Signal.SELL,Signal.BUY
447,Signal.SELL,Signal.WAIT
448,Signal.SELL,Signal.WAIT
449,Signal.SELL,Signal.BUY
450,Signal.SELL,Signal.WAIT
451,Signal.SELL,Signal.WAIT
452,Signal.SELL,Signal.SELL
453,Signal.SELL,Signal.WAIT
454,Signal.SELL,Signal.WAIT
455,Signal.SELL,Signal.WAIT
456,Signal.BUY,Signal.SELL
457,Signal.BUY,Signal.WAIT
458,Signal.BUY,Signal.SELL
459,Signal.BUY,Signal.WAIT
460,Signal.BUY,Signal.WAIT
461,Signal.BUY,Signal.WAIT
462,Signal.BUY,Signal.SELL
463,Signal.BUY,Signal.WAIT
464,Signal.BUY,Signal.SELL
465,Signal.BUY,Signal.WAIT
466,Signal.BUY,Signal.BUY
467,Signal.BUY,Signal.WAIT
468,Signal.BUY,Signal.WAIT
469,Signal.BUY,Signal.SELL
470,Signal.BUY,Signal.WAIT
471,Signal.BUY,Signal.SELL
472,Signal.BUY,Signal.WAIT
473,Signal.BUY,Signal.WAIT
474,Signal.BUY,Signal.WAIT
475,Signal.BUY,Signal.SELL
476,Signal.BUY,Signal.WAIT
477,Signal.BUY,Signal.BUY
478,Signal.WAIT,Signal.WAIT
479,Signal.WAIT,Signal.WAIT
480,Signal.WAIT,Signal.WAIT
481,Signal.WAIT,Signal.WAIT
482,Signal.WAIT,Signal.BUY
483,Signal.WAIT,Signal.WAIT
484,Signal.WAIT,Signal.WAIT
485,Signal.WAIT,Signal.BUY
486,Signal.WAIT,Signal.WAIT
487,Signal.WAIT,Signal.WAIT
488,Signal.SELL,Signal.WAIT
489,Signal.WAIT,Signal.WAIT
490,Signal.WAIT,Signal.SELL
491,Signal.SELL,Signal.BUY
492,Signal.SELL,Signal.WAIT
493,Signal.SELL,Signal.WAIT
494,Signal.SELL,Signal.WAIT
495,Signal.SELL,Signal.BUY
496,Signal.SELL,Signal.WAIT
497,Signal.SELL,Signal.WAIT
498,Signal.SELL,Signal.WAIT
499,Signal.WAIT,Signal.WAIT
500,Signal.WAIT,Signal.WAIT
501,Signal.WAIT,Signal.WAIT
502,Signal.BUY,Signal.SELL
503,Signal.BUY,Signal.WAIT
504,Signal.BUY,Signal.WAIT
505,Signal.BUY,Signal.WAIT
